N/100,pN,Z/100,pZ,przewidywane_BE/A(MeV)
0.05,0,1.39,0,-3.56063
0.05,0,1.4,1,-3.47497
0.05,0,1.41,0,-3.5889
0.05,0,1.42,1,-3.50377
0.05,0,1.43,0,-3.61481
0.05,0,1.44,1,-3.53045
0.05,0,1.45,0,-3.63857
0.05,0,1.46,1,-3.5552
0.05,0,1.47,0,-3.66038
0.05,0,1.48,1,-3.57815
0.05,0,1.49,0,-3.6804
0.05,0,1.5,1,-3.59946
0.06,1,0.01,0,0.8318
0.06,1,0.02,1,3.91468
0.06,1,0.03,0,5.02719
0.06,1,0.04,1,6.50519
0.06,1,0.05,0,6.93712
0.06,1,0.06,1,7.69334
0.06,1,0.07,0,7.25996
0.06,1,0.08,1,7.04071
0.06,1,0.09,0,6.50027
0.06,1,0.1,1,6.08617
0.06,1,0.11,0,5.49804
0.06,1,0.12,1,5.2386
0.06,1,0.13,0,4.81559
0.06,1,0.14,1,4.91278
0.06,1,0.15,0,4.59823
0.06,1,0.16,1,4.76783
0.06,1,0.17,0,4.44924
0.06,1,0.18,1,4.63723
0.06,1,0.19,0,4.30757
0.06,1,0.2,1,4.53079
0.06,1,0.21,0,4.19822
0.06,1,0.22,1,4.46169
0.06,1,0.23,0,4.12874
0.06,1,0.24,1,4.4175
0.06,1,0.25,0,4.08416
0.06,1,0.26,1,4.38216
0.06,1,0.27,0,4.04895
0.06,1,0.28,1,4.34646
0.06,1,0.29,0,4.0146
0.06,1,0.3,1,4.30666
0.06,1,0.31,0,3.97771
0.06,1,0.32,1,4.26175
0.06,1,0.33,0,3.93737
0.06,1,0.34,1,4.21187
0.06,1,0.35,0,3.89364
0.06,1,0.36,1,4.1575
